Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,NULL,NULL,EUTAW,AL,35462,GREENE,2053723388,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.9,No Different than U.S. National Rate,7.7,15.3,   41,,13.2,No Different than U.S. National Rate,9.2,18.5,   46,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.2,No Different than U.S. National Rate,19.5,29.7,   55,,19.5,No Different than U.S. National Rate,15.3,24.5,   45,
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,NULL,NULL,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,NULL,Number of Cases Too Small,NULL,NULL,   15,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.1,No Different than U.S. National Rate,6.9,14.4,   43,,11.0,No Different than U.S. National Rate,7.4,16.0,   67,,NULL,Number of Cases Too Small,NULL,NULL,   15,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,26.6,No Different than U.S. National Rate,21.8,32.0,   61,,21.2,No Different than U.S. National Rate,16.9,26.0,   72,
010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,NULL,NULL,DECATUR,AL,35601,MORGAN,2563502211,18.4,No Different than U.S. National Rate,13.6,24.0,   43,,11.4,No Different than U.S. National Rate,8.6,14.8,  227,,10.1,No Different than U.S. National Rate,7.4,13.7,  188,,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.7,No Different than U.S. National Rate,21.0,28.6,  289,,17.4,No Different than U.S. National Rate,14.2,21.1,  208,
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,NULL,NULL,DOTHAN,AL,36305,HOUSTON,3347935000,16.4,No Different than U.S. National Rate,13.2,20.0,  333,, 8.9,No Different than U.S. National Rate,7.0,11.3,  523,, 9.4,No Different than U.S. National Rate,7.1,12.1,  372,,19.5,No Different than U.S. National Rate,16.5,22.9,  341,,21.1,Better than U.S. National Rate,18.6,24.2,  631,,17.3,No Different than U.S. National Rate,14.5,20.4,  393,
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,NULL,NULL,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,16.2,No Different than U.S. National Rate,13.1,19.8,  272,,10.6,No Different than U.S. National Rate,8.5,13.0,  484,, 9.7,No Different than U.S. National Rate,7.6,12.1,  498,,21.2,No Different than U.S. National Rate,18.0,24.9,  275,,26.4,No Different than U.S. National Rate,23.4,29.9,  558,,20.0,No Different than U.S. National Rate,17.1,23.4,  493,
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,NULL,NULL,CENTREVILLE,AL,35042,BIBB,2059264881,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.3,No Different than U.S. National Rate,8.7,16.9,   25,,12.0,No Different than U.S. National Rate,9.0,15.6,   82,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.1,No Different than U.S. National Rate,18.6,28.3,   32,,17.9,No Different than U.S. National Rate,14.1,22.2,   78,
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,NULL,NULL,MOULTON,AL,35650,LAWRENCE,2569742200,18.0,No Different than U.S. National Rate,14.1,22.1,   66,, 9.7,No Different than U.S. National Rate,6.9,13.5,  103,, 9.0,No Different than U.S. National Rate,6.5,12.5,  224,,19.9,No Different than U.S. National Rate,16.5,23.7,   57,,24.5,No Different than U.S. National Rate,20.4,29.3,  126,,20.8,No Different than U.S. National Rate,17.6,24.6,  269,
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,NULL,NULL,SCOTTSBORO,AL,35768,JACKSON,2562594444,17.0,No Different than U.S. National Rate,12.9,21.8,   51,,12.2,No Different than U.S. National Rate,9.5,15.7,  255,,13.3,No Different than U.S. National Rate,10.9,16.1,  523,,19.9,No Different than U.S. National Rate,16.0,24.4,   30,,29.2,Worse than U.S. National Rate,25.4,33.3,  317,,19.9,No Different than U.S. National Rate,17.3,23.0,  538,
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,NULL,NULL,GENEVA,AL,36340,GENEVA,3346843655,15.5,No Different than U.S. National Rate,11.3,20.4,   29,, 9.6,No Different than U.S. National Rate,7.0,13.0,   89,,12.3,No Different than U.S. National Rate,9.3,16.1,  219,,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.2,No Different than U.S. National Rate,19.3,27.8,  115,,17.6,No Different than U.S. National Rate,14.5,21.0,  265,
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,NULL,NULL,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,20.1,No Different than U.S. National Rate,15.8,25.0,  103,,11.3,No Different than U.S. National Rate,8.6,14.9,  154,,12.9,No Different than U.S. National Rate,9.8,16.6,  181,,19.2,No Different than U.S. National Rate,15.8,23.2,   81,,22.6,No Different than U.S. National Rate,19.0,26.6,  209,,17.0,No Different than U.S. National Rate,14.0,20.6,  203,
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,NULL,NULL,FLORALA,AL,36442,COVINGTON,3348583287,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.4,No Different than U.S. National Rate,8.2,15.8,   66,, 9.9,No Different than U.S. National Rate,7.0,13.9,  158,,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,27.0,No Different than U.S. National Rate,22.4,32.3,   98,,18.9,No Different than U.S. National Rate,15.2,23.0,  185,
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,NULL,NULL,EUFAULA,AL,36027,BARBOUR,3346887271,NULL,Number of Cases Too Small,NULL,NULL,    6,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>, 8.7,No Different than U.S. National Rate,6.2,12.0,  106,,12.2,No Different than U.S. National Rate,9.2,16.2,  171,,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,22.7,No Different than U.S. National Rate,18.8,27.5,  127,,17.4,No Different than U.S. National Rate,14.2,21.4,  183,
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,NULL,NULL,ASHLAND,AL,36251,CLAY,2563542131,18.2,No Different than U.S. National Rate,14.1,23.1,   28,,12.0,No Different than U.S. National Rate,9.0,15.8,  143,,10.8,No Different than U.S. National Rate,8.0,14.4,  159,,NULL,Number of Cases Too Small,NULL,NULL,   19,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,28.2,No Different than U.S. National Rate,23.8,32.7,  166,,20.8,No Different than U.S. National Rate,17.0,25.4,  164,
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,NULL,NULL,ANNISTON,AL,36207,CALHOUN,2562355121,15.5,No Different than U.S. National Rate,13.0,18.3,  396,,11.0,No Different than U.S. National Rate,9.1,13.2,  577,, 9.8,No Different than U.S. National Rate,7.6,12.6,  340,,19.2,No Different than U.S. National Rate,16.7,22.1,  386,,24.2,No Different than U.S. National Rate,21.6,26.9,  683,,21.1,No Different than U.S. National Rate,18.1,24.3,  363,
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,NULL,NULL,ATHENS,AL,35611,LIMESTONE,2562339292,16.5,No Different than U.S. National Rate,12.8,20.8,   44,, 9.2,No Different than U.S. National Rate,6.9,12.1,  197,, 9.2,No Different than U.S. National Rate,6.9,12.2,  203,,NULL,Number of Cases Too Small,NULL,NULL,   22,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,27.8,No Different than U.S. National Rate,23.9,31.9,  251,,19.4,No Different than U.S. National Rate,16.1,23.2,  211,
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,NULL,NULL,FOLEY,AL,36535,BALDWIN,2519493400,15.1,No Different than U.S. National Rate,11.2,20.1,   67,,10.3,No Different than U.S. National Rate,7.9,13.4,  294,,12.1,No Different than U.S. National Rate,9.1,15.6,  250,,19.4,No Different than U.S. National Rate,15.6,23.7,   49,,25.4,No Different than U.S. National Rate,22.0,29.2,  365,,17.5,No Different than U.S. National Rate,14.3,20.8,  263,
010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,NULL,NULL,DECATUR,AL,35609,MORGAN,2563412000,18.8,No Different than U.S. National Rate,14.8,23.5,  128,,11.4,No Different than U.S. National Rate,9.2,14.1,  434,,10.3,No Different than U.S. National Rate,8.2,12.6,  494,,18.8,No Different than U.S. National Rate,15.2,22.7,  115,,23.8,No Different than U.S. National Rate,21.1,26.8,  540,,18.2,No Different than U.S. National Rate,15.6,21.0,  518,
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,NULL,NULL,WINFIELD,AL,35594,MARION,2054877736,NULL,Number of Cases Too Small,NULL,NULL,   23,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.9,No Different than U.S. National Rate,8.8,15.9,  118,,10.9,No Different than U.S. National Rate,8.0,14.7,  193,,NULL,Number of Cases Too Small,NULL,NULL,   14,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,27.2,No Different than U.S. National Rate,22.6,32.4,  128,,16.6,No Different than U.S. National Rate,13.5,20.4,  198,
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,NULL,NULL,MOBILE,AL,36617,MOBILE,2514717110,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.3,No Different than U.S. National Rate,8.3,18.2,   28,,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,19.2,No Different than U.S. National Rate,15.5,24.0,   26,,24.8,No Different than U.S. National Rate,20.0,30.7,   33,,NULL,Number of Cases Too Small,NULL,NULL,   22,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,NULL,NULL,JASPER,AL,35502,WALKER,2053874000,17.9,No Different than U.S. National Rate,14.2,21.9,  103,, 9.4,No Different than U.S. National Rate,7.2,12.1,  224,,10.4,No Different than U.S. National Rate,8.2,13.1,  363,,19.4,No Different than U.S. National Rate,15.7,23.4,   79,,25.3,No Different than U.S. National Rate,21.6,29.2,  259,,18.3,No Different than U.S. National Rate,15.8,21.3,  405,
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,NULL,NULL,MOBILE,AL,36608,MOBILE,2516331000,15.6,No Different than U.S. National Rate,12.4,19.5,  227,,12.0,No Different than U.S. National Rate,9.8,14.7,  505,, 9.0,No Different than U.S. National Rate,6.9,11.6,  383,,19.1,No Different than U.S. National Rate,15.9,22.7,  234,,18.3,Better than U.S. National Rate,15.9,21.1,  582,,15.1,Better than U.S. National Rate,12.6,17.9,  420,
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,NULL,NULL,GROVE HILL,AL,36451,CLARKE,2512753191,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>, 9.7,No Different than U.S. National Rate,6.6,14.0,   38,,12.6,No Different than U.S. National Rate,8.3,19.1,   32,,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,22.8,No Different than U.S. National Rate,18.3,28.0,   55,,19.0,No Different than U.S. National Rate,14.9,24.0,   38,
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,NULL,NULL,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,16.7,No Different than U.S. National Rate,14.0,19.8,  390,, 9.2,Better than U.S. National Rate,7.7,11.1,  982,, 9.2,Better than U.S. National Rate,7.5,11.0,  754,,22.0,No Different than U.S. National Rate,19.2,25.5,  389,,25.8,No Different than U.S. National Rate,23.6,28.1, 1216,,19.2,No Different than U.S. National Rate,16.9,21.6,  808,
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,NULL,NULL,GREENSBORO,AL,36744,HALE,3346243024,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.1,No Different than U.S. National Rate,7.8,15.7,   31,,11.5,No Different than U.S. National Rate,7.8,16.1,   41,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.6,No Different than U.S. National Rate,18.7,29.0,   42,,17.9,No Different than U.S. National Rate,13.9,22.7,   45,
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,NULL,NULL,WETUMPKA,AL,36092,ELMORE,3345674311,NULL,Number of Cases Too Small,NULL,NULL,   15,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.6,No Different than U.S. National Rate,7.3,15.0,   58,,12.5,No Different than U.S. National Rate,9.0,17.5,   79,,NULL,Number of Cases Too Small,NULL,NULL,   10,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.4,No Different than U.S. National Rate,19.5,29.9,   63,,18.4,No Different than U.S. National Rate,14.4,22.9,   81,
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,NULL,NULL,BREWTON,AL,36426,ESCAMBIA,2518678061,17.0,No Different than U.S. National Rate,12.7,22.3,   29,,12.6,No Different than U.S. National Rate,9.1,16.9,  133,,12.2,No Different than U.S. National Rate,8.8,17.0,  136,,NULL,Number of Cases Too Small,NULL,NULL,   12,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.3,No Different than U.S. National Rate,20.2,29.0,  151,,17.7,No Different than U.S. National Rate,14.1,22.0,  136,
